datetime,temperature_degC,active_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 02:35:00,31.38,178.1,232.27,1.05,111.49,135.69,92.8
2026-05-15 02:40:00,32.2,172.71,323.48,0.53,155.27,143.27,92.56
2026-05-15 02:45:00,32.36,179.37,305.67,0.61,146.72,143.44,92.32
2026-05-15 02:50:00,32.66,174.79,236.97,0.99,113.75,134.87,92.1
2026-05-15 02:55:00,32.62,166.66,296.4,0.6,142.27,137.82,91.87
2026-05-15 03:00:00,33.15,172.47,288.69,0.66,138.57,139.03,91.63
2026-05-15 03:05:00,33.09,170.61,275.14,0.72,132.07,136.92,91.41
2026-05-15 03:10:00,32.12,160.18,267.04,0.71,128.18,132.34,91.19
2026-05-15 03:15:00,32.26,166.51,317.91,0.52,152.6,140.34,90.95
2026-05-15 03:20:00,32.64,164.29,304.51,0.56,146.17,137.92,90.72
2026-05-15 03:25:00,33.67,165.97,232.01,0.98,111.36,131.28,90.5
2026-05-15 03:30:00,33.54,167.19,230.18,1.0,110.48,131.57,90.28
2026-05-15 03:35:00,34.6,155.24,258.98,0.74,124.31,129.79,90.07
2026-05-15 03:40:00,33.16,158.58,209.38,1.15,100.5,126.96,89.86
2026-05-15 03:45:00,33.81,159.84,295.14,0.58,141.67,135.24,89.63
2026-05-15 03:50:00,34.25,158.25,296.65,0.57,142.39,134.85,89.41
2026-05-15 03:55:00,34.26,146.61,324.95,0.44,155.97,134.16,89.18
2026-05-15 04:00:00,33.85,145.76,285.87,0.57,137.22,129.17,88.97
2026-05-15 04:05:00,34.33,140.21,246.75,0.73,118.44,123.23,88.76
2026-05-15 04:10:00,34.79,138.03,230.38,0.83,110.58,121.05,88.56
2026-05-15 04:15:00,35.19,138.09,290.33,0.52,139.36,126.92,88.35
2026-05-15 04:20:00,35.84,124.72,212.62,0.88,102.06,114.86,88.16
2026-05-15 04:25:00,35.8,132.63,232.17,0.78,111.44,119.23,87.96
2026-05-15 04:30:00,35.52,133.19,323.93,0.4,155.49,129.25,87.74
2026-05-15 04:35:00,35.83,121.79,283.1,0.48,135.89,120.28,87.54
2026-05-15 04:40:00,35.63,126.63,234.73,0.73,112.67,117.28,87.35
2026-05-15 04:45:00,35.89,112.76,248.82,0.58,119.43,113.54,87.16
2026-05-15 04:50:00,36.01,122.05,240.52,0.67,115.45,116.13,86.96
2026-05-15 04:55:00,35.81,112.9,273.83,0.48,131.44,116.1,86.77
2026-05-15 05:00:00,36.56,113.72,209.22,0.83,100.43,110.61,86.59
2026-05-15 05:05:00,36.65,108.98,252.58,0.54,121.24,112.53,86.4
2026-05-15 05:10:00,35.97,104.18,314.06,0.34,150.75,117.67,86.2
2026-05-15 05:15:00,36.99,101.69,317.89,0.32,152.59,117.26,86.01
2026-05-15 05:20:00,37.37,102.98,310.46,0.34,149.02,116.79,85.81
2026-05-15 05:25:00,37.35,100.16,290.88,0.38,139.62,113.44,85.62
2026-05-15 05:30:00,37.32,90.97,226.52,0.56,108.73,103.68,85.45
2026-05-15 05:35:00,37.01,87.97,298.12,0.32,143.1,109.94,85.27
2026-05-15 05:40:00,37.48,92.48,282.53,0.37,135.61,109.74,85.08
2026-05-15 05:45:00,37.43,71.07,237.91,0.4,114.2,97.49,84.92
2026-05-15 05:50:00,37.91,86.88,279.1,0.36,133.97,107.36,84.74
2026-05-15 05:55:00,37.21,85.91,271.73,0.37,130.43,106.2,84.57
2026-05-15 06:00:00,37.84,80.04,266.23,0.36,127.79,103.51,84.39
2026-05-15 06:05:00,38.27,81.45,258.64,0.39,124.15,103.24,84.22
2026-05-15 06:10:00,39.08,64.96,316.33,0.21,151.84,103.99,84.05
2026-05-15 06:15:00,38.35,73.2,286.84,0.28,137.68,103.32,83.88
2026-05-15 06:20:00,38.74,61.65,233.78,0.36,112.21,93.71,83.72
2026-05-15 06:25:00,38.81,66.27,256.89,0.32,123.31,97.6,83.56
2026-05-15 06:30:00,38.29,60.45,228.07,0.37,109.47,92.76,83.4
2026-05-15 06:35:00,39.07,53.0,218.6,0.35,104.93,89.24,83.25
2026-05-15 06:40:00,39.03,72.26,255.92,0.35,122.84,99.65,83.09
2026-05-15 06:45:00,39.86,59.02,219.54,0.39,105.38,91.51,82.93
2026-05-15 06:50:00,39.28,56.35,217.66,0.38,104.47,90.39,82.78
2026-05-15 06:55:00,39.8,66.92,257.57,0.32,123.63,97.9,82.62
2026-05-15 07:00:00,40.84,40.99,310.29,0.14,148.94,94.67,82.46
2026-05-15 07:05:00,39.47,52.51,266.85,0.23,128.09,93.69,82.31
2026-05-15 07:10:00,40.2,56.28,250.17,0.29,120.08,93.34,82.15
2026-05-15 07:15:00,40.8,62.51,250.81,0.32,120.39,95.65,81.99
2026-05-15 07:20:00,40.6,45.07,304.63,0.15,146.22,95.4,81.83
2026-05-15 07:25:00,40.89,49.27,229.96,0.3,110.38,88.89,81.68
2026-05-15 07:30:00,39.9,43.56,243.73,0.23,116.99,88.11,81.54
2026-05-15 07:35:00,40.9,43.82,304.0,0.15,145.92,94.88,81.38
2026-05-15 07:40:00,40.81,44.86,309.49,0.15,148.56,95.95,81.22
2026-05-15 07:45:00,41.55,41.72,287.0,0.16,137.76,92.09,81.07
2026-05-15 07:50:00,41.69,35.77,244.5,0.19,117.36,85.38,80.92
2026-05-15 07:55:00,42.26,47.65,228.81,0.29,109.83,88.2,80.78
2026-05-15 08:00:00,41.33,41.2,233.51,0.24,112.08,86.29,80.63
2026-05-15 08:05:00,41.72,41.17,265.73,0.19,127.55,89.52,80.48
2026-05-15 08:10:00,41.86,50.95,239.98,0.28,115.19,90.42,80.33
2026-05-15 08:15:00,41.69,52.24,222.93,0.33,107.01,89.34,80.18
2026-05-15 08:20:00,42.85,38.25,206.35,0.29,99.05,82.88,80.05
2026-05-15 08:25:00,42.28,55.52,259.93,0.26,124.77,94.05,79.89
2026-05-15 08:30:00,41.61,43.59,309.02,0.15,148.33,95.44,79.73
2026-05-15 08:35:00,42.56,39.74,231.59,0.24,111.17,85.6,79.59
2026-05-15 08:40:00,43.73,52.23,237.31,0.3,113.91,90.65,79.44
2026-05-15 08:45:00,41.96,53.74,296.93,0.19,142.52,97.56,79.27
2026-05-15 08:50:00,42.15,49.92,208.16,0.37,99.92,87.28,79.13
2026-05-15 08:55:00,43.06,46.59,295.41,0.17,141.8,94.83,78.97
2026-05-15 09:00:00,43.27,51.64,251.09,0.26,120.52,91.76,78.82
2026-05-15 09:05:00,43.29,58.46,292.05,0.22,140.18,98.67,78.65
2026-05-15 09:10:00,43.31,59.13,317.1,0.19,152.21,102.02,78.48
2026-05-15 09:15:00,42.88,66.08,232.94,0.39,111.81,95.25,78.32
2026-05-15 09:20:00,43.2,62.12,224.85,0.39,107.93,93.09,78.17
2026-05-15 09:25:00,43.7,60.84,203.97,0.47,97.91,90.95,78.02
2026-05-15 09:30:00,43.71,72.79,224.9,0.46,107.95,96.97,77.86
2026-05-15 09:35:00,44.43,71.77,231.19,0.43,110.97,97.15,77.69
2026-05-15 09:40:00,43.72,75.65,300.01,0.27,144.0,105.77,77.52
2026-05-15 09:45:00,43.43,67.08,307.71,0.23,147.7,103.66,77.35
2026-05-15 09:50:00,43.58,80.58,222.41,0.52,106.76,99.59,77.18
2026-05-15 09:55:00,43.87,83.2,237.56,0.47,114.03,101.85,77.01
2026-05-15 10:00:00,45.2,67.34,214.69,0.47,103.05,94.16,76.85
2026-05-15 10:05:00,43.47,83.38,206.94,0.62,99.33,99.39,76.69
2026-05-15 10:10:00,43.25,89.23,298.26,0.32,143.16,110.4,76.5
2026-05-15 10:15:00,44.29,86.0,252.52,0.43,121.21,104.27,76.33
2026-05-15 10:20:00,44.16,88.64,207.08,0.66,99.4,101.33,76.16
2026-05-15 10:25:00,44.63,93.27,237.24,0.53,113.87,105.47,75.98
2026-05-15 10:30:00,44.78,91.08,302.92,0.32,145.4,111.64,75.8
2026-05-15 10:35:00,44.18,95.01,316.87,0.3,152.1,114.77,75.61
2026-05-15 10:40:00,45.39,96.82,307.64,0.33,147.67,114.27,75.42
2026-05-15 10:45:00,45.47,99.08,310.52,0.33,149.05,115.43,75.22
2026-05-15 10:50:00,44.56,99.57,205.93,0.75,98.85,105.24,75.05
2026-05-15 10:55:00,44.35,114.46,276.71,0.48,132.82,116.99,74.85
2026-05-15 11:00:00,44.9,111.82,298.36,0.4,143.21,118.49,74.66
2026-05-15 11:05:00,44.36,123.26,284.83,0.48,136.72,121.02,74.45
2026-05-15 11:10:00,44.06,118.14,237.28,0.67,113.9,114.46,74.26
2026-05-15 11:15:00,44.13,114.44,259.91,0.54,124.76,115.23,74.07
2026-05-15 11:20:00,44.86,117.28,319.97,0.36,153.59,123.09,73.87
2026-05-15 11:25:00,44.84,123.52,241.93,0.67,116.13,116.8,73.67
2026-05-15 11:30:00,44.9,123.96,298.17,0.44,143.12,122.79,73.47
2026-05-15 11:35:00,45.03,128.66,204.52,0.98,98.17,115.76,73.27
2026-05-15 11:40:00,44.5,132.62,238.15,0.74,114.31,119.75,73.08
2026-05-15 11:45:00,45.0,131.81,320.01,0.41,153.61,128.28,72.86
2026-05-15 11:50:00,44.83,146.15,298.42,0.52,143.24,130.75,72.64
2026-05-15 11:55:00,44.23,132.23,217.01,0.89,104.16,117.92,72.45
2026-05-15 12:00:00,44.56,134.57,321.75,0.41,154.44,129.48,72.23
2026-05-15 12:05:00,44.86,144.04,320.35,0.45,153.77,132.69,72.01
2026-05-15 12:10:00,43.82,152.0,204.58,1.16,98.2,124.29,71.8
2026-05-15 12:15:00,45.11,144.65,226.17,0.9,108.56,123.13,71.6
2026-05-15 12:20:00,44.71,161.32,258.52,0.77,124.09,131.95,71.38
2026-05-15 12:25:00,44.54,153.49,313.42,0.5,150.44,135.18,71.15
2026-05-15 12:30:00,44.9,163.45,245.45,0.86,117.82,131.51,70.93
2026-05-15 12:35:00,45.79,154.33,321.32,0.48,154.24,136.48,70.71
2026-05-15 12:40:00,44.79,167.08,305.27,0.57,146.53,139.03,70.47
2026-05-15 12:45:00,44.92,156.43,284.76,0.61,136.69,132.88,70.25
2026-05-15 12:50:00,44.71,170.93,317.37,0.54,152.34,141.88,70.02
2026-05-15 12:55:00,44.83,169.65,271.79,0.73,130.46,136.25,69.79
2026-05-15 13:00:00,44.95,167.63,303.42,0.58,145.64,139.01,69.56
2026-05-15 13:05:00,43.99,169.38,304.88,0.58,146.34,139.81,69.32
2026-05-15 13:10:00,43.72,179.06,223.98,1.14,107.51,135.44,69.1
2026-05-15 13:15:00,44.4,182.57,283.8,0.72,136.22,142.13,68.86
2026-05-15 13:20:00,44.09,177.05,316.89,0.56,152.11,144.0,68.62
2026-05-15 13:25:00,44.34,174.62,273.45,0.74,131.25,138.19,68.39
2026-05-15 13:30:00,44.87,172.56,323.78,0.52,155.41,143.27,68.15
2026-05-15 13:35:00,44.63,181.48,245.3,0.96,117.74,138.01,67.92
2026-05-15 13:40:00,43.92,174.92,242.45,0.95,116.38,135.4,67.7
2026-05-15 13:45:00,44.39,177.05,214.11,1.23,102.77,134.02,67.47
2026-05-15 13:50:00,45.1,183.3,211.37,1.31,101.46,136.13,67.25
2026-05-15 13:55:00,44.17,185.39,247.17,0.97,118.64,139.58,67.01
2026-05-15 14:00:00,44.78,179.72,262.61,0.83,126.05,138.95,66.78
2026-05-15 14:05:00,43.25,182.33,295.37,0.67,141.78,143.34,66.54
2026-05-15 14:10:00,44.1,175.68,295.07,0.64,141.63,140.91,66.31
2026-05-15 14:15:00,43.4,180.43,219.49,1.19,105.35,135.61,66.08
2026-05-15 14:20:00,43.67,177.63,287.99,0.68,138.23,140.82,65.85
2026-05-15 14:25:00,43.11,178.93,247.72,0.93,118.9,137.3,65.62
2026-05-15 14:30:00,43.49,172.57,229.89,1.04,110.34,133.53,65.4
2026-05-15 14:35:00,43.36,176.63,299.35,0.63,143.69,141.75,65.16
2026-05-15 14:40:00,42.1,175.85,300.9,0.62,144.43,141.65,64.92
2026-05-15 14:45:00,42.35,181.03,310.39,0.6,148.99,144.63,64.68
2026-05-15 14:50:00,43.75,172.47,319.78,0.54,153.49,142.74,64.45
2026-05-15 14:55:00,43.02,172.04,308.45,0.58,148.05,141.19,64.21
2026-05-15 15:00:00,43.23,168.39,202.07,1.31,96.99,130.11,63.99
2026-05-15 15:05:00,43.04,167.63,241.54,0.91,115.94,132.68,63.77
2026-05-15 15:10:00,42.46,165.26,252.25,0.83,121.08,132.78,63.55
2026-05-15 15:15:00,42.86,172.14,214.79,1.19,103.1,132.28,63.33
2026-05-15 15:20:00,41.96,164.03,259.85,0.77,124.73,133.04,63.11
2026-05-15 15:25:00,43.28,162.37,245.83,0.86,118.0,131.17,62.89
2026-05-15 15:30:00,41.67,164.4,298.18,0.59,143.13,137.24,62.66
2026-05-15 15:35:00,41.7,153.54,286.64,0.59,137.59,132.04,62.44
2026-05-15 15:40:00,42.43,160.09,213.03,1.12,102.25,127.77,62.23
2026-05-15 15:45:00,42.78,154.22,221.46,1.0,106.3,126.23,62.02
2026-05-15 15:50:00,42.06,145.47,208.28,1.07,99.98,122.14,61.81
2026-05-15 15:55:00,41.61,152.11,307.11,0.51,147.41,133.9,61.59
2026-05-15 16:00:00,41.79,151.01,305.3,0.52,146.54,133.31,61.37
2026-05-15 16:05:00,41.01,142.43,284.91,0.56,136.76,127.89,61.16
2026-05-15 16:10:00,41.58,139.71,225.23,0.88,108.11,121.26,60.95
2026-05-15 16:15:00,41.66,136.28,267.82,0.6,128.55,123.86,60.75
2026-05-15 16:20:00,41.09,136.93,323.54,0.42,155.3,130.56,60.53
2026-05-15 16:25:00,40.27,122.94,274.74,0.52,131.87,119.8,60.33
2026-05-15 16:30:00,40.15,130.32,277.53,0.54,133.22,122.75,60.13
2026-05-15 16:35:00,40.9,134.44,296.03,0.49,142.09,126.29,59.91
2026-05-15 16:40:00,40.91,119.05,280.58,0.48,134.68,119.04,59.72
2026-05-15 16:45:00,40.7,115.29,284.72,0.45,136.66,118.14,59.52
2026-05-15 16:50:00,40.52,124.9,215.53,0.86,103.46,115.15,59.33
2026-05-15 16:55:00,38.99,107.98,268.53,0.48,128.9,113.79,59.14
2026-05-15 17:00:00,39.69,118.46,302.59,0.41,145.24,121.35,58.94
2026-05-15 17:05:00,38.74,100.24,254.13,0.49,121.98,109.53,58.75
2026-05-15 17:10:00,39.57,97.06,242.86,0.52,116.57,107.32,58.57
2026-05-15 17:15:00,39.86,108.75,296.43,0.39,142.28,117.14,58.38
2026-05-15 17:20:00,38.87,101.34,211.61,0.72,101.57,106.27,58.2
2026-05-15 17:25:00,40.22,96.7,323.07,0.29,155.07,116.15,58.01
2026-05-15 17:30:00,39.48,99.35,268.75,0.44,129.0,110.71,57.82
2026-05-15 17:35:00,38.7,101.78,268.85,0.45,129.05,111.59,57.64
2026-05-15 17:40:00,38.8,92.78,212.88,0.65,102.18,103.25,57.47
2026-05-15 17:45:00,38.92,89.57,278.04,0.37,133.46,108.2,57.29
2026-05-15 17:50:00,38.43,83.21,244.16,0.44,117.2,102.44,57.11
2026-05-15 17:55:00,37.88,81.33,254.38,0.4,122.1,102.76,56.94
2026-05-15 18:00:00,38.01,82.28,285.71,0.32,137.14,106.44,56.77
2026-05-15 18:05:00,37.18,78.65,210.0,0.57,100.8,97.89,56.6
2026-05-15 18:10:00,37.69,72.21,317.54,0.23,152.42,106.72,56.42
2026-05-15 18:15:00,38.26,70.1,241.03,0.38,115.69,97.42,56.26
2026-05-15 18:20:00,38.16,64.1,211.64,0.46,101.59,92.72,56.11
2026-05-15 18:25:00,36.57,58.04,234.35,0.34,112.49,92.46,55.95
2026-05-15 18:30:00,37.42,67.67,282.26,0.27,135.48,100.82,55.79
2026-05-15 18:35:00,36.47,56.78,263.39,0.26,126.43,94.85,55.63
2026-05-15 18:40:00,37.54,67.69,284.09,0.27,136.37,101.05,55.46
2026-05-15 18:45:00,36.48,59.24,216.85,0.4,104.09,91.36,55.31
2026-05-15 18:50:00,36.9,55.73,258.75,0.26,124.2,93.98,55.15
2026-05-15 18:55:00,35.69,59.48,297.03,0.21,142.57,99.6,54.98
2026-05-15 19:00:00,36.48,58.67,227.52,0.36,109.21,92.06,54.83
2026-05-15 19:05:00,35.59,55.38,200.22,0.44,96.1,88.65,54.68
2026-05-15 19:10:00,35.12,55.45,263.64,0.25,126.55,94.39,54.53
2026-05-15 19:15:00,34.89,44.3,202.07,0.35,96.99,84.74,54.38
2026-05-15 19:20:00,36.31,53.95,245.82,0.28,117.99,92.05,54.23
2026-05-15 19:25:00,34.59,50.29,233.58,0.29,112.12,89.57,54.08
2026-05-15 19:30:00,34.96,42.22,297.83,0.15,142.96,93.54,53.93
2026-05-15 19:35:00,34.85,52.49,230.13,0.32,110.46,90.06,53.78
2026-05-15 19:40:00,34.89,44.44,251.66,0.22,120.8,89.2,53.63
2026-05-15 19:45:00,34.25,49.79,292.29,0.19,140.3,95.59,53.47
2026-05-15 19:50:00,34.56,44.31,260.18,0.21,124.89,90.04,53.32
2026-05-15 19:55:00,35.25,40.55,229.93,0.24,110.37,85.71,53.18
2026-05-15 20:00:00,34.02,33.99,235.41,0.2,112.99,83.86,53.04
2026-05-15 20:05:00,34.82,50.74,275.47,0.21,132.22,93.98,52.88
2026-05-15 20:10:00,34.55,41.53,304.7,0.14,146.26,94.14,52.72
2026-05-15 20:15:00,34.22,42.83,213.28,0.3,102.37,85.09,52.58
2026-05-15 20:20:00,33.67,49.02,324.76,0.15,155.89,99.4,52.41
2026-05-15 20:25:00,34.3,49.44,214.01,0.34,102.73,87.55,52.27
2026-05-15 20:30:00,34.63,40.77,282.39,0.16,135.55,91.2,52.12
2026-05-15 20:35:00,33.25,40.37,302.38,0.14,145.14,93.44,51.96
2026-05-15 20:40:00,33.66,44.59,282.64,0.18,135.67,92.6,51.81
2026-05-15 20:45:00,33.01,45.7,292.35,0.17,140.33,94.13,51.65
2026-05-15 20:50:00,33.45,57.27,218.61,0.38,104.93,90.78,51.5
2026-05-15 20:55:00,33.4,54.67,292.53,0.2,140.41,97.35,51.34
2026-05-15 21:00:00,34.04,54.87,223.22,0.35,107.15,90.31,51.19
2026-05-15 21:05:00,34.12,51.42,274.13,0.22,131.58,94.09,51.03
2026-05-15 21:10:00,32.41,58.43,309.25,0.19,148.44,100.73,50.86
2026-05-15 21:15:00,32.95,60.23,207.22,0.45,99.47,90.95,50.71
2026-05-15 21:20:00,32.81,65.04,231.72,0.39,111.23,94.75,50.55
2026-05-15 21:25:00,32.09,66.42,272.05,0.29,130.58,99.24,50.39
2026-05-15 21:30:00,32.17,64.31,245.09,0.34,117.65,95.71,50.23
2026-05-15 21:35:00,32.79,65.58,284.47,0.26,136.54,100.32,50.06
2026-05-15 21:40:00,31.9,72.39,258.25,0.35,123.96,99.93,49.89
2026-05-15 21:45:00,32.05,72.97,283.87,0.29,136.26,102.9,49.72
2026-05-15 21:50:00,32.36,75.03,256.15,0.36,122.95,100.65,49.55
2026-05-15 21:55:00,32.23,76.22,290.97,0.29,139.67,104.88,49.38
2026-05-15 22:00:00,32.17,79.04,295.25,0.29,141.72,106.39,49.2
2026-05-15 22:05:00,32.11,78.79,269.05,0.35,129.14,103.35,49.03
2026-05-15 22:10:00,31.61,74.94,207.61,0.55,99.65,96.33,48.87
2026-05-15 22:15:00,32.35,87.32,318.93,0.27,153.09,112.26,48.68
2026-05-15 22:20:00,31.57,83.33,283.38,0.33,136.02,106.54,48.5
2026-05-15 22:25:00,30.8,97.0,311.2,0.32,149.38,114.74,48.31
2026-05-15 22:30:00,31.84,97.13,312.04,0.32,149.78,114.89,48.12
2026-05-15 22:35:00,32.22,95.98,223.42,0.61,107.24,105.23,47.95
2026-05-15 22:40:00,31.14,97.64,290.26,0.37,139.32,112.45,47.76
2026-05-15 22:45:00,30.96,98.22,279.97,0.4,134.38,111.49,47.57
2026-05-15 22:50:00,31.75,99.93,255.22,0.49,122.5,109.53,47.39
2026-05-15 22:55:00,31.51,102.6,203.73,0.79,97.79,106.16,47.21
2026-05-15 23:00:00,31.55,115.33,254.08,0.57,121.96,114.96,47.02
2026-05-15 23:05:00,31.6,110.19,265.62,0.5,127.5,114.26,46.83
2026-05-15 23:10:00,31.56,127.03,312.14,0.42,149.83,125.57,46.62
2026-05-15 23:15:00,31.49,127.74,229.39,0.77,110.11,117.23,46.43
2026-05-15 23:20:00,31.42,124.03,262.66,0.57,126.08,118.92,46.23
2026-05-15 23:25:00,31.54,119.07,221.22,0.77,106.18,113.43,46.04
2026-05-15 23:30:00,31.08,134.49,244.48,0.72,117.35,120.97,45.84
2026-05-15 23:35:00,30.75,125.48,239.97,0.69,115.18,117.3,45.64
2026-05-15 23:40:00,31.09,132.23,236.98,0.75,113.75,119.49,45.44
2026-05-15 23:45:00,30.45,136.9,283.05,0.54,135.86,125.67,45.23
2026-05-15 23:50:00,30.58,140.41,228.75,0.85,109.8,121.76,45.03
2026-05-15 23:55:00,30.75,149.02,242.71,0.81,116.5,126.06,44.82
