time,x,y,battery_pct,num_trucks,mesh_links,total_power
30,39.013158622336924,6.100590431274112,60.24394997713447,4,3,208.5968842609239
31,38.62203533424548,6.817121732736849,59.24883563567257,4,3,199.02286829237923
32,38.04532398479957,7.084258317716765,58.28483730046028,4,3,192.79966704246021
33,37.146014087694006,7.235779731058163,57.62604963113518,3,3,131.75753386501967
34,38.1275924975476,6.415924242635937,56.854145823920085,3,3,154.380761443017
35,38.818121521478325,7.252824382862458,55.92062672844281,3,3,186.70381909545495
36,38.03954873951082,8.172585149161419,54.8479274061212,4,3,214.5398644643226
37,38.472320428554056,7.197216345568339,54.05504341160472,2,3,158.57679890329467
38,38.699134743397764,7.9969460321332,52.990916580984624,4,3,212.8253661240193
39,39.54491333073737,8.845753916843847,52.083541691783644,3,3,181.47497784019873
40,39.12938071859784,8.644567571885593,51.193399425895855,3,3,178.02845317755512
41,39.20187322081464,9.280533075924511,50.24882410887417,4,3,188.91506340433887
42,40.06591084728753,9.7442928865415,49.25597759270733,4,3,198.56930323336516
43,40.15985283414959,9.445333121449769,48.32033569189533,3,3,187.1283801624004
44,40.309705116715264,8.881352139978564,47.29959654243842,4,3,204.14782989138192
45,40.87280088530173,9.712299964775347,46.3075259460335,4,3,198.41411928098464
46,41.40561580022302,9.84618100192836,45.44794021144304,2,3,171.9171469180924
47,42.10840773453855,10.462327458145584,44.477247254222476,3,3,194.13859144411313
48,42.23640806637885,10.64675719296314,43.403353773161726,4,3,214.77869621214936
49,42.642157338134815,11.543223523581373,42.33167411536315,4,3,214.33593155971647
50,43.103122345985824,11.366333786437123,41.312958512490034,3,3,203.74312057462265
51,42.535246357117664,10.407620818738081,40.2814190481678,3,3,206.30789286444724
52,43.262186863782546,9.91205105505582,39.158614120235036,3,3,224.56098558655256
53,44.01297980821046,10.807128335745967,38.13592696226424,2,3,204.53743159415805
54,44.71236280569405,10.894088321456723,37.092582076443,2,3,208.6689771642489
55,45.68261111418195,11.39858991332173,35.86847762067644,3,3,244.8208911533132
56,46.34864314046244,10.559768869314436,34.67785628383807,2,3,238.12426736767407
57,45.87370564910397,10.176929305125002,33.551551079157235,2,3,225.26104093616618
58,46.40334871158961,9.686387612664044,32.30441640755494,4,3,249.42693432045886
59,47.37332781223671,9.138244321497808,31.05642544393172,3,3,249.59819272464537
60,48.15158613663091,10.04005288105058,29.805895372305603,3,3,250.10601432522358
61,49.09902671996511,10.239521431571704,28.356008799346526,2,3,289.9773145918146
62,48.711842383922445,9.376461132821078,27.001768796158004,3,3,270.84800063770433
63,48.028386022719474,10.150377177975187,25.46484888837049,4,3,307.3839815575035
64,48.90355788309536,10.059189745187771,23.848683799857184,4,3,323.23301770266056
65,49.83871281006571,9.57785073436692,22.960954372478156,4,2,177.54588547580545
66,49.13922357101809,8.723782313205719,22.370099993348074,2,2,118.17087582601698
67,49.70232649602146,7.75369811034135,21.468429582417343,3,2,180.33408218614505
68,49.24058726016282,7.22427148322646,20.559403561363766,3,2,181.8052042107159
69,49.338766161551725,6.316658045535805,19.961531835795082,1,2,119.57434511373667
70,48.94516848034978,5.614426714308198,19.315679901218342,2,2,129.1703869153483
71,48.957081722980725,5.441257473743276,18.65727697502717,2,2,131.6805852382341
72,48.903599925967995,4.838036734901977,18.013136700898695,1,2,128.82805482569475
73,49.12268984055149,4.689873831589993,17.26983972505101,2,2,148.65939516953708
74,48.27706460736177,3.9768033137128462,16.569071936878125,2,2,140.15355763457745
75,48.27200138089368,3.421651638864361,15.818793244266999,2,2,150.05573852222483
76,47.45825756987986,3.3030959387384478,15.156336671687026,1,2,132.49131451599462
77,46.57995189082062,4.225442675004624,14.451035063975286,3,2,141.06032154234788
78,46.247736548838326,3.694473526211197,13.87249309850854,3,2,115.70839309334953
79,45.34490845638492,3.4125006525508583,13.363376739418106,2,2,101.82327181808688
80,44.94715708157281,3.5609504290869634,12.831872822085758,2,2,106.30078346647008
81,45.59119020557422,3.09650363185952,12.17832890117285,3,2,130.70878418258113
82,45.82009596915047,3.0372729796963185,11.663399351180583,2,2,102.98590999845356
83,46.397074034225106,2.145100903518987,11.189602404353966,1,2,94.75938936532346
84,46.8051544774755,1.1766455169936167,10.704593937397707,1,2,97.00169339125169
85,47.39286883806031,0.40010438642068546,10.215640055106743,1,2,97.79077645819306
86,47.582184344298035,0.7010461965801553,9.69767613136617,1,2,103.59278474811447
87,46.93112156940571,1.6167583836638004,9.209287646606775,1,2,97.6776969518788
88,46.13360734210099,1.1705685184211643,8.65976738160489,2,2,109.90405300037742
89,46.28843828638765,2.0613952971000793,8.118038511646136,2,2,108.34577399175099
90,45.769975075307755,1.9598730883057942,7.599157112054365,2,2,103.77627991835395
91,45.30344411100968,2.8727802612520996,7.0244607860217325,3,2,114.9392652065264
92,44.73156358226718,3.399934271612352,6.488724196104611,3,2,107.14731798342416
93,44.414036485236245,3.1824964226035544,6.043784677863953,2,2,88.98790364813162
94,44.1936399251971,2.8673912681255533,5.638740816444856,2,2,81.0087722838194
95,44.02344564748688,3.1037112828045084,5.2524959354681,2,2,77.24897619535125
96,44.98505639238146,4.051766311645389,4.704948561167748,2,2,109.50947486007027
97,44.1647493170505,4.974642733745445,4.124136673192757,3,3,116.16237759499826
98,44.89794069301616,4.816382429784463,3.5448201111992352,3,3,115.86331239870432
99,44.217424821008336,4.904016671150874,2.9539677608172465,3,3,118.17047007639768
100,43.84958833670338,4.24288852710774,2.335815217544774,3,3,123.6305086544946
101,44.80524162056552,5.158236853687554,1.7335373566795553,3,3,120.45557217304368
102,45.1866776710814,5.73906134363945,1.1109684418112358,3,3,124.5137829736639
103,45.695933602488175,5.473582570187732,0.4535213682064547,3,2,131.48941472095623
104,44.797417855876205,6.17159089902251,0.023870773739859973,2,3,85.93011889331893
105,43.97977660747203,5.620660832644439,0.0,1,3,66.54164053625728
